carrera,institucion,acreditacion,periodo_acreditacion_carrera,Enlace,Documento_Acreditador
Diseño Gráfico,UNIVERSIDAD DE CHILE,No,-,-,-
Diseño Industrial,UNIVERSIDAD DE CHILE,No,-,-,-
Diseño,UNIVERSIDAD DE TALCA,Sí,2014 - 2019,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N35%20Diseno%20U%20de%20Talca.pdf,Acuerdo
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,Sí,2016 - 2021,http://www.acreditaccion.cl/dictamenes/dictamen_n221_diseno_grafico_ubb.pdf,Acuerdo
Diseño Industrial,UNIVERSIDAD DEL BIO-BIO,Sí,2013 - 2019,http://www.acreditaccion.cl/dictamenes/Dictamen_N344_Diseno_Industrial_UBB.pdf,Acuerdo
Diseño,UNIVERSIDAD DE VALPARAISO,Sí,2015 - 2020,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N42%20Diseno%20U%20de%20Valparaiso.pdf,Acuerdo
Diseño,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,Sí,2015 - 2022,http://uctransparente.uc.cl/index.php?option=com_docman&task=doc_download&gid=571&Itemid=,Acuerdo
"Diseño de Vesturaio, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,No,-,-,-
Diseño Gráfico Computacional,CFT ICEL,No,-,-,-
Diseño Gráfico Computacional,CFT ICEL,No,-,-,-
Diseño y Producción Gráfica,CFT INACAP,Sí,2014 - 2019,http://www.inacap.cl/web/acreditacion/ReposicionN65-Diseno-Prod-Grafica.pdf,Acuerdo
Diseño Web & Mobile,CFT INACAP,No,-,-,-
Diseño y Producción Gráfica,CFT INACAP,Sí,2014 - 2019,http://www.inacap.cl/web/acreditacion/ReposicionN65-Diseno-Prod-Grafica.pdf,Acuerdo
Diseño Gráfico,IP AIEP,Sí,2015 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2016/03/Acuerdo-N%C2%BA404.pdf,Acuerdo
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,Sí,2013 - 2018,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA231-Dise%C3%B1o-de-Vestuario-AIEP.pdf,Acuerdo
Diseño Gráfico Profesional,IP AIEP,Sí,2015 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2016/03/Acuerdo-N%C2%BA404.pdf,Acuerdo
Diseño,IP CHILE,No,-,-,-
Diseño Gráfico,IP DUOC UC,Sí,2011 - 2017,https://www.cnachile.cl/res/preg/RES-PREG-01064-01.pdf,Acuerdo
Diseño de Vestuario,IP DUOC UC,Sí,2010 - 2017,http://www.acreditadoradechile.cl/wp-content/uploads/2011/11/Acuerdo_N%b051_Diseno_de_Vestuario_DUOC.pdf,Acuerdo
Diseño de Ambiente,IP DUOC UC,Sí,2017 - 2023,http://www.acreditadoradechile.cl/wp-content/uploads/2017/03/Acuerdo-N%C2%BA520.pdf,Acuerdo
Diseño de Ambiente,IP DUOC UC,Sí,2017 - 2023,http://www.acreditadoradechile.cl/wp-content/uploads/2017/03/Acuerdo-N%C2%BA520.pdf,Acuerdo
Diseño Gráfico,IP DUOC UC,Sí,2011 - 2017,https://www.cnachile.cl/res/preg/RES-PREG-01064-01.pdf,Acuerdo
Diseño Industrial,IP DUOC UC,Sí,2017 - 2023,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA222-Dise%C3%B1o-Industrial-DUOC.pdf,Acuerdo
Diseño Gráfico,IP DUOC UC,Sí,2011 - 2017,https://www.cnachile.cl/res/preg/RES-PREG-01064-01.pdf,Acuerdo
Diseño de Moda,IP INACAP,Sí,2016 - 2022,http://www.inacap.cl/web/acreditacion/Reposicion-N103-Diseno-de-Moda.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020 ,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020 ,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020 ,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020 ,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020 ,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño de Moda,IP INACAP,Sí,2016 - 2022,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño de Moda,IP INACAP,Sí,2016 - 2022,http://www.inacap.cl/web/acreditacion/Reposicion-N103-Diseno-de-Moda.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020 ,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020 ,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020 ,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Profesional,IP INACAP,Sí,2014 - 2020 ,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Diseño Gráfico Publicitario,IP LOS LEONES,Sí,2016 -  2019,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,Sí,2013 - 2018 ,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
